 Ru Density=12.41
 Energy(eV), Delta, Beta
  129.943893  0.0432501659  0.00501811737
  130.678604  0.0426395312  0.00500167487
  131.417465  0.0420381986  0.00498534366
  132.160507  0.0414486788  0.00496926578
  132.907745  0.0408670977  0.00495324004
  133.65921  0.040294949  0.00493727019
  134.414917  0.0397331603  0.00492135948
  135.174911  0.0391788967  0.00490549905
  135.939194  0.0386342481  0.00489090709
  136.707794  0.0380988121  0.00487744249
  137.480743  0.0375705287  0.00486401469
  138.258057  0.0370521322  0.00485074101
  139.039764  0.0365419462  0.00483755767
  139.825897  0.0360385403  0.00482440973
  140.616486  0.0355447382  0.00481079286
  141.41153  0.0350580476  0.00479711732
  142.211075  0.0345777981  0.00478347996
  143.015137  0.0341068394  0.0047698631
  143.823746  0.0336421356  0.00475628162
  144.636932  0.0331838764  0.00474264985
  145.454712  0.0327335708  0.00472851237
  146.27713  0.0322891809  0.0047144196
  147.104172  0.0318511799  0.00470026676
  147.935898  0.0314201154  0.00468593184
  148.772339  0.0309947059  0.0046716393
  149.613495  0.0305755921  0.00465739006
  150.459412  0.0301628076  0.00464317948
  151.31012  0.029755434  0.00462901313
  152.165619  0.0293541923  0.00461514341
  153.02597  0.0289587006  0.00460147765
  153.89119  0.0285683889  0.00458785333
  154.761292  0.0281847548  0.00457442366
  155.636322  0.0278066155  0.00456108153
  156.516281  0.0274334196  0.00454777991
  157.401245  0.0270669293  0.00453451602
  158.291183  0.0267053861  0.00452129357
  159.186157  0.0263487138  0.00450799102
  160.086212  0.0259987935  0.00449320162
  160.991333  0.0256534275  0.00447845552
  161.901581  0.0253125932  0.00446356181
  162.816986  0.0249764081  0.00444803387
  163.737549  0.0246445816  0.00443256088
  164.66333  0.0243176464  0.00441714982
  165.59433  0.0239959043  0.00440180674
  166.530609  0.0236783158  0.00438651629
  167.472183  0.02336617  0.00437067728
  168.419067  0.0230592117  0.00435437076
  169.371307  0.0227561984  0.00433812523
  170.328949  0.0224566441  0.00431853393
  171.291992  0.0221607555  0.00429748511
  172.260468  0.0218686834  0.0042765392
  173.234436  0.0215803292  0.00425568828
  174.213913  0.0212956797  0.00423493702
  175.198914  0.0210147053  0.0042142882
  176.189499  0.0207375232  0.0041937409
  177.185684  0.0204639174  0.00417329324
  178.187485  0.0201936495  0.00415212708
  179.194962  0.019925762  0.00412642304
  180.208145  0.019661339  0.00410087919
  181.227036  0.0193999056  0.00407544663
  182.251694  0.0191408489  0.00405007415
  183.28215  0.0188851599  0.00402485859
  184.318436  0.0186319575  0.00399979437
  185.36058  0.0183810759  0.00397487916
  186.4086  0.018133482  0.00395011995
  187.46257  0.0178885516  0.0039243293
  188.522491  0.0176464766  0.00389796146
  189.588394  0.0174075868  0.00387177081
  190.660324  0.0171701834  0.0038441699
  191.738327  0.0169354156  0.00381628517
  192.822418  0.0167037565  0.003788603
  193.912643  0.0164720397  0.00376112596
  195.009033  0.0162431542  0.00373384799
  196.111618  0.0160172153  0.00370676676
  197.220444  0.0157929026  0.0036798669
  198.335526  0.0155716045  0.00365316193
  199.456909  0.0153527139  0.00362618989
  200.584656  0.0151348403  0.00359787699
  201.718765  0.0149199245  0.00356978504
  202.859283  0.0147065427  0.00354191288
  204.006256  0.0144938612  0.00351425773
  205.159714  0.0142841022  0.0034868184
  206.319702  0.0140760019  0.00345959398
  207.486221  0.0138697391  0.00343258306
  208.659348  0.013666329  0.00340578309
  209.839127  0.0134637291  0.00337845972
  211.025558  0.01326307  0.00335103157
  212.218689  0.0130652199  0.00332382624
  213.418594  0.012866891  0.00329654897
  214.625259  0.012670788  0.00326944352
  215.83876  0.0124774622  0.00324256113
  217.059113  0.0122866826  0.00321590155
  218.286362  0.0120986113  0.00318946177
  219.520569  0.0119126253  0.00316264271
  220.761734  0.0117261205  0.00313280826
  222.009933  0.0115422877  0.00310325506
  223.265198  0.0113589363  0.0030728702
  224.527527  0.0111734467  0.00304032257
  225.797012  0.0109906802  0.0030081186
  227.073669  0.0108076651  0.00297625829
  228.357559  0.0106239906  0.00294473628
  229.648697  0.0104430765  0.00291354884
  230.947144  0.0102608912  0.00288268551
  232.252914  0.010079029  0.00285214512
  233.566071  0.00989995617  0.00282192859
  234.886658  0.00971795898  0.0027895018
  236.214706  0.00953713153  0.00275670481
  237.550278  0.00935913436  0.00272429269
  238.893402  0.00917505566  0.00269226311
  240.24411  0.00899322238  0.00266061025
  241.602463  0.00881353486  0.00262932922
  242.968475  0.00862785336  0.00259841769
  244.342224  0.00844522659  0.00256786891
  245.72374  0.00826319121  0.00253811781
  247.113068  0.00807634089  0.00251013367
  248.510254  0.00789264031  0.00248245778
  249.915329  0.0077074389  0.00245525828
  251.328369  0.00751819834  0.00242862338
  252.749374  0.00733223325  0.00240227813
  254.178436  0.00714222994  0.00237621926
  255.615555  0.00694949599  0.00235044421
  257.060822  0.00676018465  0.00232494879
  258.514252  0.00656365324  0.00230174465
  259.975891  0.00636611693  0.00227964204
  261.445801  0.00617218483  0.0022577513
  262.924011  0.00596086681  0.00223787734
  264.410583  0.00574987708  0.00221849233
